State,Population,Urban_Population_Share_Percent,Population_Density_per_km2,Literacy_Rate_Percent,Sex_Ratio_Females_per_1000_Males,MPI_2015,GDP_per_capita_INR_2018,Laborforce_Participation_Rate_Percent
Gujarat,60439692.00,42.6,308.00,78.03,919.00,0.083,154887.00,51.3
Karnataka,61095297.00,38.67,319.00,75.36,973.00,0.055,149024.00,51.2
Tamil Nadu,72147030.00,48.4,555.00,80.09,996.00,0.019,141844.00,55.1
Delhi,16787941.00,97.5,,86.21,868.00,0.02,257597.00,49.7
Uttar Pradesh,199812341.00,22.27,829.00,67.68,912.00,0.179,42333.00,43.2
Andhra Pradesh,84580777.00,33.36,308.00,67.02,993.00,0.051,146777.00,55.1
Madhya Pradesh,72626809.00,27.63,236.00,69.32,931.00,0.173,59005.00,54.2
Rajasthan,68548437.00,24.87,201.00,66.11,928.00,0.137,73975.00,53
Kerala,33406061.00,47.7,860.00,94,1084.00,0.003,147347.00,49.3
West Bengal,91276115.00,31.87,1028.00,76.26,950.00,0.097,68195.00,51.6
Maharashtra,112374333.00,45.22,365.00,82.34,929.00,0.065,140782.00,53.3
Bihar,104099452.00,11.29,1106.00,61.8,918.00,0.265,29092.00,40.4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,